Type,Rooms,Repair Subject,Subject Details,Issue,Priority
Suite,Bathroom - Guest,Carpentry,Counter Top / Vanity,Damaged,STANDARD
Suite,Bathroom - Guest,Carpentry,Counter Top / Vanity,Not In List,STANDARD
Suite,Bathroom - Guest,Carpentry,Shelves,Damaged,STANDARD
Suite,Bathroom - Guest,Carpentry,Shelves,Not In List,STANDARD
Suite,Bathroom - Guest,Carpentry,Shelves,Paint,STANDARD
Suite,Bathroom - Guest,Carpentry,Trim / Base boards / Crown mold,Damaged,STANDARD
Suite,Bathroom - Guest,Carpentry,Trim / Base boards / Crown mold,Missing,STANDARD
Suite,Bathroom - Guest,Carpentry,Trim / Base boards / Crown mold,Not In List,STANDARD
Suite,Bathroom - Guest,Carpentry,Trim / Base boards / Crown mold,Paint,STANDARD
Suite,Bathroom - Guest,Carpentry,Window sill,Damaged,STANDARD
Suite,Bathroom - Guest,Carpentry,Window sill,Not In List,STANDARD
Suite,Bathroom - Guest,Carpentry,Window sill,Paint,STANDARD
Suite,Bathroom - Guest,Doors,Bi-fold Doors,Falling down,STANDARD
Suite,Bathroom - Guest,Doors,Bi-fold Doors,Knob repair,STANDARD
Suite,Bathroom - Guest,Doors,Bi-fold Doors,Not In List,STANDARD
Suite,Bathroom - Guest,Doors,Bi-fold Doors,Will not close,STANDARD
Suite,Bathroom - Guest,Doors,Bi-fold Doors,Will not open,STANDARD
Suite,Bathroom - Guest,Doors,Bi-fold Doors,Will not stay on track,STANDARD
Suite,Bathroom - Guest,Doors,Interior Doors,Deadbolt repair,STANDARD
Suite,Bathroom - Guest,Doors,Interior Doors,Door stop,STANDARD
Suite,Bathroom - Guest,Doors,Interior Doors,Hard to open,STANDARD
Suite,Bathroom - Guest,Doors,Interior Doors,Hinge repair,STANDARD
Suite,Bathroom - Guest,Doors,Interior Doors,Locking knob repair,STANDARD
Suite,Bathroom - Guest,Doors,Interior Doors,Not In List,STANDARD
Suite,Bathroom - Guest,Doors,Interior Doors,Passage knob repair,STANDARD
Suite,Bathroom - Guest,Doors,Interior Doors,Will not close,STANDARD
Suite,Bathroom - Guest,Doors,Interior Doors,Will not latch,STANDARD
Suite,Bathroom - Guest,Doors,Sliding Doors,Comes off track,STANDARD
Suite,Bathroom - Guest,Doors,Sliding Doors,Not In List,STANDARD
Suite,Bathroom - Guest,Doors,Sliding Doors,Will not slide,STANDARD
Suite,Bathroom - Guest,Electrical,Light Switch,Cover plate repair,STANDARD
Suite,Bathroom - Guest,Electrical,Light Switch,Dimmer does not work,STANDARD
Suite,Bathroom - Guest,Electrical,Light Switch,Does not work,STANDARD
Suite,Bathroom - Guest,Electrical,Light Switch,Loose from wall,STANDARD
Suite,Bathroom - Guest,Electrical,Light Switch,Not In List,STANDARD
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Cosmetic repair,STANDARD
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Fan does not work,STANDARD
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Flickers,EMERGENCY
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Globe / Lens repair,STANDARD
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Light is dim,EMERGENCY
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Not In List,STANDARD
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Not balanced,STANDARD
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Pull chain repair,STANDARD
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Pulling loose from ceiling / wall,EMERGENCY
Suite,Bathroom - Guest,Electrical,Light fixture / Ceiling fan,Will not come on / bulb out,STANDARD
Suite,Bathroom - Guest,Electrical,Outlet,Cover plate repair,STANDARD
Suite,Bathroom - Guest,Electrical,Outlet,GFI will not reset,EMERGENCY
Suite,Bathroom - Guest,Electrical,Outlet,Loose from wall,STANDARD
Suite,Bathroom - Guest,Electrical,Outlet,No power,EMERGENCY
Suite,Bathroom - Guest,Electrical,Outlet,Not In List,STANDARD
Suite,Bathroom - Guest,Electrical,Outlet,Sparks,EMERGENCY
Suite,Bathroom - Guest,Flooring,Apartment Carpet,Carpet bar repair,STANDARD
Suite,Bathroom - Guest,Flooring,Apartment Carpet,Clean carpet,STANDARD
Suite,Bathroom - Guest,Flooring,Apartment Carpet,Not In List,STANDARD
Suite,Bathroom - Guest,Flooring,Apartment Carpet,Repair carpet,STANDARD
Suite,Bathroom - Guest,Flooring,Apartment Carpet,Replace carpet,STANDARD
Suite,Bathroom - Guest,Flooring,Apartment Carpet,Stretch carpet,STANDARD
Suite,Bathroom - Guest,Flooring,Apartment Carpet,Wet Vac,STANDARD
Suite,Bathroom - Guest,Flooring,Ceramic Tile,Broken tile,STANDARD
Suite,Bathroom - Guest,Flooring,Ceramic Tile,Grout repair,STANDARD
Suite,Bathroom - Guest,Flooring,Ceramic Tile,Loose tile,STANDARD
Suite,Bathroom - Guest,Flooring,Ceramic Tile,Not In List,STANDARD
Suite,Bathroom - Guest,Flooring,Floor General,Leak,EMERGENCY
Suite,Bathroom - Guest,Flooring,Floor General,Not In List,STANDARD
Suite,Bathroom - Guest,Flooring,Hardwood,Loose boards,STANDARD
Suite,Bathroom - Guest,Flooring,Hardwood,Not In List,STANDARD
Suite,Bathroom - Guest,Flooring,Hardwood,Warped,STANDARD
Suite,Bathroom - Guest,Flooring,Vinyl / Tile,Needs caulk,STANDARD
Suite,Bathroom - Guest,Flooring,Vinyl / Tile,Not In List,STANDARD
Suite,Bathroom - Guest,Flooring,Vinyl / Tile,Tile loose,STANDARD
Suite,Bathroom - Guest,Glass Door / Window,Window,Broken glass,EMERGENCY
Suite,Bathroom - Guest,Glass Door / Window,Window,Fogged,STANDARD
Suite,Bathroom - Guest,Glass Door / Window,Window,Lock,EMERGENCY
Suite,Bathroom - Guest,Glass Door / Window,Window,Not In List,STANDARD
Suite,Bathroom - Guest,Glass Door / Window,Window,Will not close,EMERGENCY
Suite,Bathroom - Guest,Glass Door / Window,Window,Will not slide / open,STANDARD
Suite,Bathroom - Guest,Janitorial,Clean,Not In List,STANDARD
Suite,Bathroom - Guest,Janitorial,Deodorize,Not In List,STANDARD
Suite,Bathroom - Guest,Pest Control,Insects,Ants,STANDARD
Suite,Bathroom - Guest,Pest Control,Insects,Bees,STANDARD
Suite,Bathroom - Guest,Pest Control,Insects,Fleas,STANDARD
Suite,Bathroom - Guest,Pest Control,Insects,Not In List,STANDARD
Suite,Bathroom - Guest,Pest Control,Insects,Roaches,STANDARD
Suite,Bathroom - Guest,Pest Control,Insects,Scorpions,STANDARD
Suite,Bathroom - Guest,Pest Control,Insects,Silverfish,STANDARD
Suite,Bathroom - Guest,Pest Control,Insects,Spiders,STANDARD
Suite,Bathroom - Guest,Pest Control,Pests,Birds,STANDARD
Suite,Bathroom - Guest,Pest Control,Pests,Mice,STANDARD
Suite,Bathroom - Guest,Pest Control,Pests,Not In List,STANDARD
Suite,Bathroom - Guest,Pest Control,Pests,Rats,STANDARD
Suite,Bathroom - Guest,Plumbing,Fire Sprinkler Head,Beauty ring repair,STANDARD
Suite,Bathroom - Guest,Plumbing,Fire Sprinkler Head,Head leaks,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Fire Sprinkler Head,Not In List,STANDARD
Suite,Bathroom - Guest,Plumbing,Fire Sprinkler Head,Paint on head,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Faucet,Faucet drips,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Faucet,Handle broken,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Faucet,Leak at faucet stem,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Lavatory Faucet,Low water pressure,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Faucet,No water,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Lavatory Faucet,Not In List,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Faucet,Stopper does not work,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Faucet,Stopper missing,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Sink,Chip in sink,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Sink,Leak under sink,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Lavatory Sink,Sewer back-up,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Lavatory Sink,Sink will not hold water,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Sink,Stopper missing,STANDARD
Suite,Bathroom - Guest,Plumbing,Lavatory Sink,Will not drain,STANDARD
Suite,Bathroom - Guest,Plumbing,Low water pressure,,STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Back loose from base,STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Base loose from floor,STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Broken seat,STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Constantly runs,STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Leak at base,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Toilet,Leak at tank,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Toilet,Not In List,STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Runs intermittently,STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Sewer back-up,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Toilet,Stopped Up (Only one in unit),EMERGENCY
Suite,Bathroom - Guest,Plumbing,Toilet,Stopped up (Other working toilet available),STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Tank lid broken,STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Water valve dripping,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Toilet,Will not fill,STANDARD
Suite,Bathroom - Guest,Plumbing,Toilet,Will not flush,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Caulk or grout,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Ceramic tile repair,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Diverter not working,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Door repair,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Not In List,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Shower head repair,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Shower rod repair,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Soap dish repair,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Stopper does not work / missing,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Tub / shower will not drain,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Tub spout repair,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Tub will not hold water,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub / Shower,Water on floor when showering,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Tub/Shower Faucet,Faucet drips,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub/Shower Faucet,Handle broken,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub/Shower Faucet,Low water pressure,STANDARD
Suite,Bathroom - Guest,Plumbing,Tub/Shower Faucet,No water,EMERGENCY
Suite,Bathroom - Guest,Plumbing,Tub/Shower Faucet,Not In List,STANDARD
Suite,Bathroom - Guest,Walls / Ceiling,Ceiling,Leak,EMERGENCY
Suite,Bathroom - Guest,Walls / Ceiling,Ceiling,Leak above shower or tub,EMERGENCY
Suite,Bathroom - Guest,Walls / Ceiling,Ceiling,Leaks from apartment above,EMERGENCY
Suite,Bathroom - Guest,Walls / Ceiling,Ceiling,Leaks when it rains,EMERGENCY
Suite,Bathroom - Guest,Walls / Ceiling,Ceiling,Not In List,STANDARD
Suite,Bathroom - Guest,Walls / Ceiling,Ceiling,Paint,STANDARD
Suite,Bathroom - Guest,Walls / Ceiling,Ceiling,Roof leak,EMERGENCY
Suite,Bathroom - Guest,Walls / Ceiling,Ceiling,Sheetrock repair,STANDARD
Suite,Bathroom - Guest,Walls / Ceiling,Ceiling,Stress crack repair,STANDARD
Suite,Bathroom - Guest,Walls / Ceiling,Walls,Leak,EMERGENCY
Suite,Bathroom - Guest,Walls / Ceiling,Walls,Leaks from apartment above,EMERGENCY
Suite,Bathroom - Guest,Walls / Ceiling,Walls,Leaks when it rains,EMERGENCY
Suite,Bathroom - Guest,Walls / Ceiling,Walls,Not In List,STANDARD
Suite,Bathroom - Guest,Walls / Ceiling,Walls,Paint,STANDARD
Suite,Bathroom - Guest,Walls / Ceiling,Walls,Sheetrock repair,STANDARD
Suite,Bathroom - Guest,Walls / Ceiling,Walls,Stress crack repair,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Adjust Vent,,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Air Conditioning,Area of apartment does not cool,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Air Conditioning,Blowing cool air,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Air Conditioning,No air blowing from vents but unit is running,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Air Conditioning,Not In List,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Air Conditioning,Vent repair,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Heat,Area of apartment will not heat,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Heat,Fan blowing will not heat,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Heat,Fan not blowing will not heat,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Heat,Not In List,STANDARD
Suite,Bathroom - Half,Air Conditioning / Heat,Heat,Vent repair,STANDARD
Suite,Bathroom - Half,Bath Accessories,Hardware,Medicine Cabinet,STANDARD
Suite,Bathroom - Half,Bath Accessories,Hardware,Mirror,STANDARD
Suite,Bathroom - Half,Bath Accessories,Hardware,Not In List,STANDARD
Suite,Bathroom - Half,Bath Accessories,Hardware,Shower rod,STANDARD
Suite,Bathroom - Half,Bath Accessories,Hardware,Soap dish,STANDARD
Suite,Bathroom - Half,Bath Accessories,Hardware,Toilet tissue holder,STANDARD
Suite,Bathroom - Half,Bath Accessories,Hardware,Towel bar,STANDARD
Suite,Bathroom - Half,Bath Accessories,Hardware,Towel ring,STANDARD
Suite,Bathroom - Half,Blinds,Mini - Blind,Falling or has fallen,STANDARD
Suite,Bathroom - Half,Blinds,Mini - Blind,Not In List,STANDARD
Suite,Bathroom - Half,Blinds,Mini - Blind,Replace blind,STANDARD
Suite,Bathroom - Half,Blinds,Mini - Blind,Tilt wand repair,STANDARD
Suite,Bathroom - Half,Blinds,Mini - Blind,Will not lower,STANDARD
Suite,Bathroom - Half,Blinds,Mini - Blind,Will not raise,STANDARD
Suite,Bathroom - Half,Blinds,Mini - Blind,Will not tilt,STANDARD
Suite,Bathroom - Half,Blinds,Vertical blind,Broken or missing slat,STANDARD
Suite,Bathroom - Half,Blinds,Vertical blind,Falling or has fallen,STANDARD
Suite,Bathroom - Half,Blinds,Vertical blind,Not In List,STANDARD
Suite,Bathroom - Half,Blinds,Vertical blind,Replace blind,STANDARD
Suite,Bathroom - Half,Blinds,Vertical blind,Will not close,STANDARD
Suite,Bathroom - Half,Blinds,Vertical blind,Will not open,STANDARD
Suite,Bathroom - Half,Blinds,Vertical blind,Will not tilt,STANDARD
Suite,Bathroom - Half,Carpentry,Cabinets  Upper / Base,Bottom repair,STANDARD
Suite,Bathroom - Half,Carpentry,Cabinets  Upper / Base,Door repair,STANDARD
Suite,Bathroom - Half,Carpentry,Cabinets  Upper / Base,Drawer repair,STANDARD
Suite,Bathroom - Half,Carpentry,Cabinets  Upper / Base,Handle repair,STANDARD
Suite,Bathroom - Half,Carpentry,Cabinets  Upper / Base,Hinge repair,STANDARD
Suite,Bathroom - Half,Carpentry,Cabinets  Upper / Base,Not In List,STANDARD
Suite,Bathroom - Half,Carpentry,Cabinets  Upper / Base,Shelf repair,STANDARD
Suite,Bathroom - Half,Carpentry,Counter Top / Vanity,Caulk needed,STANDARD
Suite,Bathroom - Half,Carpentry,Counter Top / Vanity,Damaged,STANDARD
Suite,Bathroom - Half,Carpentry,Counter Top / Vanity,Not In List,STANDARD
Suite,Bathroom - Half,Carpentry,Shelves,Damaged,STANDARD
Suite,Bathroom - Half,Carpentry,Shelves,Not In List,STANDARD
Suite,Bathroom - Half,Carpentry,Shelves,Paint,STANDARD
Suite,Bathroom - Half,Carpentry,Trim / Base boards / Crown mold,Damaged,STANDARD
Suite,Bathroom - Half,Carpentry,Trim / Base boards / Crown mold,Missing,STANDARD
Suite,Bathroom - Half,Carpentry,Trim / Base boards / Crown mold,Not In List,STANDARD
Suite,Bathroom - Half,Carpentry,Trim / Base boards / Crown mold,Paint,STANDARD
Suite,Bathroom - Half,Carpentry,Window sill,Damaged,STANDARD
Suite,Bathroom - Half,Carpentry,Window sill,Not In List,STANDARD
Suite,Bathroom - Half,Carpentry,Window sill,Paint,STANDARD
Suite,Bathroom - Half,Doors,Bi-fold Doors,Falling down,STANDARD
Suite,Bathroom - Half,Doors,Bi-fold Doors,Knob repair,STANDARD
Suite,Bathroom - Half,Doors,Bi-fold Doors,Not In List,STANDARD
Suite,Bathroom - Half,Doors,Bi-fold Doors,Will not close,STANDARD
Suite,Bathroom - Half,Doors,Bi-fold Doors,Will not open,STANDARD
Suite,Bathroom - Half,Doors,Bi-fold Doors,Will not stay on track,STANDARD
Suite,Bathroom - Half,Doors,Interior Doors,Door stop,STANDARD
Suite,Bathroom - Half,Doors,Interior Doors,Hard to open,STANDARD
Suite,Bathroom - Half,Doors,Interior Doors,Hinge repair,STANDARD
Suite,Bathroom - Half,Doors,Interior Doors,Locking knob repair,STANDARD
Suite,Bathroom - Half,Doors,Interior Doors,Not In List,STANDARD
Suite,Bathroom - Half,Doors,Interior Doors,Passage knob repair,STANDARD
Suite,Bathroom - Half,Doors,Interior Doors,Will not close,STANDARD
Suite,Bathroom - Half,Doors,Interior Doors,Will not latch,STANDARD
Suite,Bathroom - Half,Doors,Sliding Doors,Comes off track,STANDARD
Suite,Bathroom - Half,Doors,Sliding Doors,Not In List,STANDARD
Suite,Bathroom - Half,Doors,Sliding Doors,Will not slide,STANDARD
Suite,Bathroom - Half,Electrical,Light Switch,Cover plate repair,STANDARD
Suite,Bathroom - Half,Electrical,Light Switch,Dimmer does not work,STANDARD
Suite,Bathroom - Half,Electrical,Light Switch,Does not work,STANDARD
Suite,Bathroom - Half,Electrical,Light Switch,Loose from wall,STANDARD
Suite,Bathroom - Half,Electrical,Light Switch,Not In List,STANDARD
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Cosmetic repair,STANDARD
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Fan does not work,STANDARD
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Flickers,EMERGENCY
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Globe / Lens repair,STANDARD
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Light is dim,EMERGENCY
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Not In List,STANDARD
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Not balanced,STANDARD
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Pull chain repair,STANDARD
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Pulling loose from ceiling / wall,EMERGENCY
Suite,Bathroom - Half,Electrical,Light fixture / Ceiling fan,Will not come on / bulb out,STANDARD
